	first_name	last_name	grid_iden	freq	full_name
0	Stefan	Pöhlmann	grid.418215.b	44	s_poehlmann
1	Stefan	Pöhlmann	grid.7450.6	41	s_poehlmann
2	Markus	Hoffmann	grid.418215.b	40	m_hoffmann
3	Markus	Hoffmann	grid.7450.6	30	m_hoffmann
4	Stefan	Pöhlmann	grid.411984.1	20	s_poehlmann
5	Luciano	Gattinoni	grid.7450.6	17	l_gattinoni
6	Hannah	Kleine-Weber	grid.418215.b	15	h_kleine-weber
7	Heike	Hofmann-Winkler	grid.418215.b	14	h_hofmann-winkler
8	Nadine	Krüger	grid.418215.b	12	n_krueger
9	Tim	Friede	grid.411984.1	12	t_friede
10	Mattia	Busana	grid.7450.6	12	m_busana
11	Peter	Korsten	grid.411984.1	12	p_korsten
12	Björn	Tampe	grid.411984.1	12	b_tampe
13	Viola	Priesemann	grid.419514.c	11	v_priesemann
14	Hannah	Kleine-Weber	grid.7450.6	11	h_kleine-weber
15	Hannah	Kleine-Weber	grid.411984.1	11	h_kleine-weber
16				10	
17	Timo	Buhl	grid.411984.1	10	t_buhl
18	Markus	Hoffmann	grid.411984.1	9	m_hoffmann
19	Amy	Kempf	grid.418215.b	9	a_kempf
20	Onnen	Moerer	grid.411984.1	8	o_moerer
21	Christine	Stadelmann	grid.411984.1	8	c_stadelmann
22	Hans-Martin	Jäck	grid.5330.5	8	h_jaeck
23	Patrick	Cramer	grid.418140.8	8	p_cramer
24	Christian	Dienemann	grid.418140.8	8	c_dienemann
25	Michael P.	Schön	grid.411984.1	8	m_schoen
26	Samy	Hakroush	grid.411984.1	8	s_hakroush
27	Margitta	Worm	grid.6363.0	7	m_worm
28	Martin Sebastian	Winkler	grid.411984.1	7	m_winkler
29	Amy	Kempf	grid.7450.6	7	a_kempf
30	Luise	Graichen	grid.418215.b	7	l_graichen
31	Sebastian	Schulz	grid.5330.5	7	s_schulz
32	Hauke S.	Hillen	grid.418140.8	7	h_hillen
33	Nicolas	Feltgen	grid.411984.1	7	n_feltgen
34	Uwe	Groß	grid.411984.1	7	u_gross
35	Susanne	Meier	grid.9026.d	6	s_meier
36	Henry	Gieseler	grid.9026.d	6	h_gieseler
37	Cromarte	Rogers	grid.9026.d	6	c_rogers
38	Diogo	Melo	grid.9026.d	6	d_melo
39	Linlin	Zhang	grid.4562.5	6	l_zhang
40	Xinyuanyuan	Sun	grid.4562.5	6	x_sun
41	Henning	Tidow	grid.9026.d	6	h_tidow
42	Rolf	Hilgenfeld	grid.4562.5	6	r_hilgenfeld
43	Tobias	Beck	grid.9026.d	6	t_beck
44	Arwen R.	Pearson	grid.9026.d	6	a_pearson
45	Christian	Betzel	grid.9026.d	6	c_betzel
46	Alexander	Carpinteiro	grid.5718.b	6	a_carpinteiro
47	Marco	Schiavone	grid.144767.7	6	m_schiavone
48	Inga	Nehlmeier	grid.418215.b	6	i_nehlmeier
49	Goran	Kokic	grid.418140.8	6	g_kokic
50	Prerna	Arora	grid.418215.b	6	p_arora
51	Prerna	Arora	grid.7450.6	6	p_arora
52	Amanda D.	Melin	grid.22072.35	6	a_melin
53	Jan	Münch	grid.410712.1	6	j_muench
54	Reinhold	Förster	grid.10423.34	6	r_foerster
55	Dimitry	Tegunov	grid.418140.8	6	d_tegunov
56	Luigi	Camporota	grid.13097.3c	6	l_camporota
57	Armita	Nourmohammad	grid.34477.33	6	a_nourmohammad
58	Davide	Chiumello	grid.4708.b	6	d_chiumello
59	Hans	Hoerauf	grid.411984.1	6	h_hoerauf
60	Henry N.	Chapman	grid.9026.d	5	h_chapman
